Date,Open,High,Low,Close,Volume
2024-01-02,190.00,191.50,188.10,190.40,70200000
2024-01-03,190.30,192.00,189.50,191.80,68900000
2024-01-04,192.00,194.20,191.50,193.70,71500000
2024-01-05,193.80,195.00,192.60,194.50,68000000
2024-01-08,194.10,195.40,192.80,193.40,65000000
2024-01-09,193.50,194.80,192.20,193.90,62000000
2024-01-10,194.20,196.00,193.70,195.80,61000000
2024-01-11,196.10,197.20,194.90,195.20,60000000
2024-01-12,195.30,196.80,194.10,194.80,59000000
2024-01-16,195.00,197.10,194.00,196.90,58000000
2024-01-17,197.20,198.50,196.40,197.90,57000000
2024-01-18,198.00,199.80,197.10,199.30,56000000
2024-01-19,199.40,200.70,198.20,199.80,55000000
2024-01-22,200.00,201.30,198.90,199.10,54000000
2024-01-23,199.50,200.80,198.60,199.70,53000000
2024-01-24,199.80,201.40,198.90,200.90,52000000
2024-01-25,201.10,202.60,200.50,202.20,51000000
2024-01-26,202.40,203.50,201.30,201.80,50000000
2024-01-29,202.00,203.20,200.90,201.20,49000000
2024-01-30,201.50,202.90,200.60,202.40,48000000
2024-01-31,202.80,204.10,201.70,203.90,47000000
2024-02-01,204.00,205.50,203.10,204.80,46000000
2024-02-02,205.10,206.40,204.00,205.90,45000000
2024-02-05,205.60,207.10,204.80,206.70,44000000
2024-02-06,206.80,208.20,205.90,207.40,43000000
2024-02-07,207.50,209.10,206.40,208.90,42000000
2024-02-08,209.00,210.30,207.80,209.60,41000000
2024-02-09,209.80,211.00,208.50,210.20,40000000
2024-02-12,210.50,211.80,209.20,211.10,39000000
2024-02-13,211.20,212.50,210.10,211.80,38000000
2024-02-14,211.80,213.00,210.60,212.40,37000000
