Date,Open,High,Low,Close,Volume
2024-01-02,370.00,372.10,368.20,371.50,32000000
2024-01-03,371.20,373.40,369.50,372.80,31500000
2024-01-04,373.00,375.50,372.10,374.90,31000000
2024-01-05,375.20,377.60,374.00,376.70,30500000
2024-01-08,376.00,378.20,374.50,375.80,30000000
2024-01-09,375.60,377.10,374.20,376.40,29500000
2024-01-10,376.80,379.00,375.30,378.90,29000000
2024-01-11,379.10,381.20,377.80,380.40,28500000
2024-01-12,380.50,382.40,379.00,381.10,28000000
2024-01-16,381.20,383.50,380.00,382.70,27500000
2024-01-17,382.80,385.00,381.60,384.50,27000000
2024-01-18,384.60,386.80,383.20,385.90,26500000
2024-01-19,386.00,388.30,384.70,387.40,26000000
2024-01-22,387.20,389.40,385.80,388.10,25500000
2024-01-23,388.00,390.20,386.70,389.50,25000000
2024-01-24,389.60,392.00,388.30,391.70,24500000
2024-01-25,392.20,394.40,390.90,393.50,24000000
2024-01-26,393.80,396.00,392.40,395.10,23500000
2024-01-29,395.20,397.40,393.70,396.90,23000000
2024-01-30,396.50,398.80,395.10,397.60,22500000
2024-01-31,397.80,400.10,396.20,399.70,22000000
2024-02-01,400.00,402.40,398.60,401.50,21500000
2024-02-02,401.80,404.20,400.30,403.60,21000000
2024-02-05,403.00,405.30,401.60,404.40,20500000
2024-02-06,404.20,406.60,402.80,405.90,20000000
2024-02-07,405.80,408.10,404.20,407.30,19500000
2024-02-08,407.40,409.80,405.90,408.80,19000000
2024-02-09,408.90,411.20,407.40,410.50,18500000
2024-02-12,410.60,413.00,409.10,412.20,18000000
2024-02-13,412.40,414.80,410.90,413.70,17500000
2024-02-14,413.90,416.30,412.40,415.20,17000000
