Date,Open,High,Low,Close,Volume
2024-01-02,245.00,248.80,242.50,247.30,60000000
2024-01-03,247.00,250.20,244.80,248.60,59000000
2024-01-04,248.40,252.00,247.10,250.90,58000000
2024-01-05,251.00,254.20,249.30,252.70,57000000
2024-01-08,252.40,255.60,250.80,251.90,56000000
2024-01-09,251.60,254.00,249.90,253.20,55000000
2024-01-10,253.40,256.80,251.70,255.60,54000000
2024-01-11,255.80,259.20,253.90,257.80,53000000
2024-01-12,257.50,261.00,255.60,259.40,52000000
2024-01-16,259.20,262.60,257.10,261.70,51000000
2024-01-17,261.80,265.30,259.70,263.90,50000000
2024-01-18,264.20,267.80,262.40,266.50,49000000
2024-01-19,266.80,270.40,265.10,268.90,48000000
2024-01-22,269.10,272.70,267.40,271.20,47000000
2024-01-23,271.40,275.00,269.70,273.50,46000000
2024-01-24,273.60,277.20,271.90,275.80,45000000
2024-01-25,276.00,279.60,274.30,278.10,44000000
2024-01-26,278.20,281.80,276.50,280.40,43000000
2024-01-29,280.60,284.20,278.90,282.70,42000000
2024-01-30,282.80,286.40,281.10,285.00,41000000
2024-01-31,285.20,288.80,283.50,287.30,40000000
2024-02-01,287.40,291.00,285.70,289.60,39000000
2024-02-02,289.80,293.40,288.10,292.10,38000000
2024-02-05,292.40,296.00,290.70,294.30,37000000
2024-02-06,294.60,298.20,292.90,296.50,36000000
2024-02-07,296.80,300.40,295.10,298.70,35000000
2024-02-08,299.00,302.60,297.30,301.00,34000000
2024-02-09,301.20,304.80,299.50,303.40,33000000
2024-02-12,303.60,307.20,301.90,305.70,32000000
2024-02-13,305.80,309.40,304.10,307.90,31000000
2024-02-14,308.00,311.60,306.30,310.20,30000000
